id_formation,titre,description,objectif_pédagogique,public_cible,prérequis,thématique,sous-thématique,niveau,durée,format,langue,certification,plateforme_source,prix,date_mise_a_jour,mots_clés,note_utilisateurs,nombre_avis,taux_de_succès
93e5f4a5-da93-4e5a-ab57-bd44992f2b26,Formation en Français Langue Étrangère pour Experts,"Apprenez Français Langue Étrangère à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Français Langue Étrangère et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en langues est recommandé.,Langues,Français Langue Étrangère,Facile,71,Projet,EN,Oui - Certificat de Français Langue Étrangère,Coursera,427,2023-07-28,"CSS, Python, Sécurité, Cloud, Cryptographie, Big Data, SEO",4.5,400,95
19f66bae-ecce-45a7-b6f1-134a0965e0b1,Formation en Analyse Financière pour Intermédiaires,"Apprenez Analyse Financière à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Analyse Financière et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en finance & comptabilité est recommandé.,Finance & Comptabilité,Analyse Financière,Facile,6,PDF,EN,Non - Certificat de Analyse Financière,Fun-MOOC,266,2025-02-12,"Git, Docker, Deep Learning, React, Publicité, Linux, Cloud",4.3,556,61
623fb73d-8bda-4afb-860a-bf0992c4bca4,Formation en Pentesting pour Débutants,"Apprenez Pentesting à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Pentesting et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en cybersécurité est recommandé.,Cybersécurité,Pentesting,Facile,61,Podcast,EN,Non - Certificat de Pentesting,OpenClassrooms,215,2024-01-18,"SEO, Kubernetes, Machine Learning, Projet, Sécurité",4.5,1572,90
63f6fcc0-7f10-4ce0-b356-c7247693081c,Formation en Email Marketing pour Intermédiaires,"Apprenez Email Marketing à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Email Marketing et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en marketing digital est recommandé.,Marketing Digital,Email Marketing,Avancé,47,Projet,EN,Non,OpenClassrooms,189,2024-11-07,"Cloud, Kubernetes, Django, Big Data, Agile, Figma, Email Marketing, React",3.2,1633,79
bdc3a28b-eb52-4fc6-85a6-300f1e462dc7,Formation en JavaScript pour Experts,"Apprenez JavaScript à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de JavaScript et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en développement web est recommandé.,Développement Web,JavaScript,Intermédiaire,61,Podcast,FR,Oui,Fun-MOOC,408,2023-05-25,"Python, Big Data, Django, Agile, Kubernetes, SQL",4.7,326,90
6d30d0a5-2a83-481d-9705-2b426d3ae683,Formation en Django pour Intermédiaires,"Apprenez Django à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Django et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en développement web est recommandé.,Développement Web,Django,Intermédiaire,5,Vidéo,EN,Non - Certificat de Django,Udemy,0,2024-05-01,"Cryptographie, React, Git, Cloud",3.6,2153,91
80a856dd-b736-4477-8cb6-d6fdd0c5abcc,Formation en Prince2 pour Intermédiaires,"Apprenez Prince2 à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Prince2 et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en gestion de projet est recommandé.,Gestion de Projet,Prince2,Facile,24,Podcast,EN,Non - Certificat de Prince2,FutureLearn,420,2025-01-19,"Agile, Big Data, Scrum, HTML, Machine Learning, Git, Projet",4.6,2223,57
3915f9b9-2646-4e3a-87ff-dcc200a35d7d,Formation en Content Marketing pour Débutants,"Apprenez Content Marketing à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Content Marketing et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en marketing digital est recommandé.,Marketing Digital,Content Marketing,Avancé,50,Quiz,EN,Oui - Certificat de Content Marketing,edX,312,2023-11-24,"React, Scrum, Content Marketing, Deep Learning, Publicité",4.6,1587,64
055fb47b-6c78-42e3-b3bd-45119f70ca05,Formation en Kubernetes pour Intermédiaires,"Apprenez Kubernetes à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Kubernetes et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,Kubernetes,Facile,79,Quiz,EN,Non,Coursera,277,2023-12-29,"Scrum, Publicité, Projet, SQL, HTML",3.9,2028,48
4a46a953-60c1-4374-b0fe-2c8e3497a5b4,Formation en AWS pour Débutants,"Apprenez AWS à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de AWS et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,AWS,Facile,29,PDF,FR,Oui,Udemy,265,2025-01-08,"HTML, Machine Learning, AWS, UI",4.1,364,75
